seed,condition,action_acc,world_bacc,neutral_bacc,trained_head_identity_acc,trained_head_beneficiary_acc,trained_head_concern_acc,lexical_action_acc,lexical_world_bacc,lexical_neutral_bacc,lexical_trained_head_identity_acc,lexical_trained_head_beneficiary_acc,lexical_trained_head_concern_acc
16120,unified_behavior_only,1.0,1.0,0.5034627184207016,0.4923999905586242,0.3984000086784363,0.5076000094413757,1.0,1.0,0.5072395030246472,0.4891999959945678,0.4063999950885772,0.5052000284194946
16121,unified_behavior_only,1.0,1.0,0.5064387424354403,0.4972000122070312,0.5496000051498413,0.5504000186920166,1.0,1.0,0.5119410308926438,0.4891999959945678,0.5604000091552734,0.525600016117096
16122,unified_behavior_only,1.0,1.0,0.5059251658901375,0.4408000111579895,0.5483999848365784,0.6420000195503235,1.0,1.0,0.5032969312729545,0.4776000082492828,0.5407999753952026,0.656000018119812
16120,unified_multitask,1.0,1.0,0.5034973989595839,1.0,1.0,1.0,1.0,1.0,0.5038791395677357,1.0,1.0,1.0
16121,unified_multitask,1.0,1.0,0.6730057939401887,1.0,1.0,1.0,1.0,1.0,0.6633533879501621,1.0,1.0,1.0
16122,unified_multitask,1.0,1.0,0.5064369099759944,1.0,1.0,1.0,1.0,1.0,0.499432423150251,1.0,1.0,1.0
