eval_mode,name,mean,std,min,max,count
encoding_ood,allocation,0.9870208650827408,0.022549690176167612,0.9310000538825988,1.0,24
encoding_ood,continuity,0.9937291940053304,0.01687162170012287,0.9172500371932985,1.0,24
encoding_ood,integrated,0.987968790034453,0.021039079750021467,0.8965000510215759,0.999750018119812,24
encoding_ood,protection,0.9967812821269035,0.004681895350174124,0.9830000400543212,1.0,24
factor_ood,allocation,0.9863854472835859,0.022913111090751465,0.928250014781952,1.0,24
factor_ood,continuity,0.9926875407497088,0.017941365309038688,0.91225004196167,1.0,24
factor_ood,integrated,0.9849271327257156,0.036495048535915404,0.8185000419616699,0.999500036239624,24
factor_ood,protection,0.9982187698284785,0.0040090225399046255,0.9830000400543212,1.0,24
id,allocation,0.9869583745797476,0.02316816973820499,0.921000063419342,1.0,24
id,continuity,0.9938021252552668,0.01830136285269115,0.9095000624656676,1.0,24
id,integrated,0.9894167060653368,0.022363792821514832,0.889750063419342,1.0,24
id,protection,0.9983646050095558,0.003939735402448741,0.9850000739097596,1.0,24
rule_ood,allocation,0.8310104441261501,0.33655111168712093,0.0,1.0,24
rule_ood,continuity,0.9923125381271044,0.019259987217516157,0.9117500185966492,1.0,24
rule_ood,integrated,0.9870417093237241,0.024249572280250965,0.8887500166893005,1.0,24
rule_ood,protection,0.9160000222424666,0.1631421354113387,0.4967500269412994,1.0,24
