condition,seed,report_gain,feedback_gain,drift_strength,drift_mode,monitor_mode,pre_focus_acc,post_focus_acc,recovery_rate,on_target_preservation,meta_stream_acc,meta_align_acc,off_target_detection_recall,meta_attention_mae,policy_acc,policy_conflict_acc,world_acc,neutral_acc,mean_correction_norm
full_monitor,16100,0.0,0.0,4.5,random,factual,0.3680000007152557,0.3680000007152557,0.0,1.0,0.5230000019073486,0.5230000019073486,0.5094936490058899,0.499230146408081,0.684166669845581,0.365159124135971,1.0,0.9990000128746032,0.0
full_monitor,16100,0.0,1.0,4.5,random,factual,0.3680000007152557,0.9990000128746032,0.9984177350997924,1.0,0.5230000019073486,0.5230000019073486,0.5094936490058899,0.499230146408081,0.9826666712760924,0.9651591181755066,1.0,0.9990000128746032,4.0478129386901855
full_monitor,16100,1.0,0.0,4.5,random,factual,0.3680000007152557,0.3680000007152557,0.0,1.0,1.0,1.0,1.0,0.0040071951225399,0.684166669845581,0.365159124135971,1.0,0.9990000128746032,0.0
full_monitor,16100,1.0,1.0,4.5,random,factual,0.3680000007152557,0.9990000128746032,0.9984177350997924,1.0,1.0,1.0,1.0,0.0040071951225399,0.9826666712760924,0.9651591181755066,1.0,0.9990000128746032,4.0478129386901855
full_monitor,16101,0.0,0.0,4.5,random,factual,0.3199999928474426,0.3199999928474426,0.0,1.0,0.5019999742507935,0.5019999742507935,0.5014705657958984,0.4991738200187683,0.6638333201408386,0.3245143890380859,1.0,1.0,0.0
full_monitor,16101,0.0,1.0,4.5,random,factual,0.3199999928474426,0.8790000081062317,0.8220587968826294,1.0,0.5019999742507935,0.5019999742507935,0.5014705657958984,0.4991738200187683,0.9273333549499512,0.8539852499961853,1.0,1.0,4.057930946350098
full_monitor,16101,1.0,0.0,4.5,random,factual,0.3199999928474426,0.3199999928474426,0.0,1.0,1.0,1.0,1.0,0.0048858318477869,0.6638333201408386,0.3245143890380859,1.0,1.0,0.0
full_monitor,16101,1.0,1.0,4.5,random,factual,0.3199999928474426,0.8790000081062317,0.8220587968826294,1.0,1.0,1.0,1.0,0.0048858318477869,0.9273333549499512,0.8539852499961853,1.0,1.0,4.057930946350098
full_monitor,16102,0.0,0.0,4.5,random,factual,0.3709999918937683,0.3709999918937683,0.0,1.0,0.4729999899864197,0.4729999899864197,0.4626391232013702,0.4992337524890899,0.6891666650772095,0.3743710219860077,1.0,1.0,0.0
full_monitor,16102,0.0,1.0,4.5,random,factual,0.3709999918937683,0.6259999871253967,0.4054054021835327,1.0,0.4729999899864197,0.4729999899864197,0.4626391232013702,0.4992337524890899,0.8151666522026062,0.627977192401886,1.0,1.0,3.528350114822388
