condition,meta_stream_acc,meta_attention_mae,recovery_feedback_on,recovery_feedback_off,recovery_gain,policy_acc_feedback_on,policy_acc_feedback_off,world_acc,neutral_acc
blind_cue_control,0.6470000147819519,0.4765252669652303,0.0,0.0,0.0,0.6875555515289307,0.6790555516878763,0.9999722242355347,0.9923333326975504
full_monitor,1.0,0.005801816781361833,0.7419606447219849,0.0,0.7419606447219849,0.9083888928095499,0.6790555516878763,1.0,0.999666670958201
