seed,rule_mode,kind,target,phase,state_idx,patch,conflict_n,base_gt_acc,cf_gt_acc,policy_follow_cf,policy_follow_cf_model,target_policy_change,non_target_policy_change,outcome_diff_n,outcome_closer_cf,outcome_mediation,model_output_shift,cf_model_gap
16200,compositional,factor,identity,0,0,matched_relation_token,896,1.0,1.0,1.0,1.0,0.746666669845581,0.15555556118488312,896,1.0,0.9591403007507324,0.48007893562316895,0.48007893562316895
16200,compositional,factor,identity,0,0,random_norm_relation_token,896,1.0,1.0,0.01674107275903225,0.01674107275903225,0.012500000186264515,0.02916666679084301,896,0.6517857313156128,0.025638002902269363,0.016520075500011444,0.48007893562316895
16200,compositional,factor,beneficiary,1,0,matched_relation_token,906,0.9977924823760986,0.9988962411880493,0.9988962411880493,1.0,0.753333330154419,0.18916666507720947,726,0.9049586653709412,0.47493860125541687,0.134128600358963,0.134128600358963
16200,compositional,factor,beneficiary,1,0,random_norm_relation_token,906,0.9977924823760986,0.9988962411880493,0.032008830457925797,0.03311258181929588,0.028333334252238274,0.0347222238779068,726,0.5950413346290588,0.029919950291514397,0.03279636427760124,0.134128600358963
16200,compositional,factor,concern,2,0,matched_relation_token,883,1.0,0.9977349638938904,0.9977349638938904,1.0,0.7358333468437195,0.0880555585026741,732,0.9043715596199036,0.44665026664733887,0.09548177570104599,0.09548177570104599
16200,compositional,factor,concern,2,0,random_norm_relation_token,883,1.0,0.9977349638938904,0.004530011210590601,0.006795017048716545,0.0033333334140479565,0.013611111789941788,732,0.4931693971157074,-0.011448242701590061,0.018003234639763832,0.09548177570104599
16201,compositional,factor,identity,0,0,matched_relation_token,895,0.9195530414581299,0.9050279259681702,0.9050279259681702,1.0,0.6425000429153442,0.015277777798473835,895,0.9486033320426941,0.1377791166305542,0.33887648582458496,0.33887648582458496
16201,compositional,factor,identity,0,0,random_norm_relation_token,895,0.9195530414581299,0.9050279259681702,0.27374300360679626,0.31173184514045715,0.22500000894069672,0.02388888970017433,895,0.6581005454063416,0.005944154690951109,0.11011739075183868,0.33887648582458496
16201,compositional,factor,beneficiary,1,0,matched_relation_token,878,0.4100227952003479,0.43052393198013306,0.43052393198013306,1.0,0.14500001072883606,0.02361111156642437,714,0.5672268867492676,-0.0028775676619261503,0.025915713980793953,0.025915713980793953
16201,compositional,factor,beneficiary,1,0,random_norm_relation_token,878,0.4100227952003479,0.43052393198013306,0.4362187087535858,0.7984055280685425,0.10249999910593033,0.023333333432674408,714,0.462184876203537,-0.022078737616539,0.018621858209371567,0.025915713980793953
16201,compositional,factor,concern,2,0,matched_relation_token,869,1.0,1.0,1.0,1.0,0.7241666913032532,0.08361111581325531,699,0.9384835958480835,0.5637567043304443,0.09800645709037781,0.09800645709037781
16201,compositional,factor,concern,2,0,random_norm_relation_token,869,1.0,1.0,0.01380897592753172,0.01380897592753172,0.009999999776482582,0.03666666895151138,699,0.535050094127655,0.0057343184016644955,0.025532850995659828,0.09800645709037781
16202,compositional,factor,identity,0,0,matched_relation_token,906,0.9492273926734924,0.9448123574256897,0.9448123574256897,1.0,0.6791666746139526,0.10777778178453445,906,0.9591611623764038,0.6944469809532166,0.29582661390304565,0.29582661390304565
16202,compositional,factor,identity,0,0,random_norm_relation_token,906,0.9492273926734924,0.9448123574256897,0.3421633541584015,0.3708609342575073,0.24416667222976685,0.057777777314186096,906,0.6931567192077637,0.17677421867847443,0.12152412533760071,0.29582661390304565
16202,compositional,factor,beneficiary,1,0,matched_relation_token,890,0.9539325833320618,0.9449438452720642,0.9449438452720642,1.0,0.6766666769981384,0.18666666746139526,710,0.8619717955589294,0.347683846950531,0.13730452954769135,0.13730452954769135
16202,compositional,factor,beneficiary,1,0,random_norm_relation_token,890,0.9539325833320618,0.9449438452720642,0.11910112202167511,0.16516853868961334,0.09416666626930237,0.07722222059965134,710,0.4943661689758301,-0.09176014363765717,0.06517180055379868,0.13730452954769135
16202,compositional,factor,concern,2,0,matched_relation_token,890,0.8741573095321655,0.8561797738075256,0.8561797738075256,1.0,0.7075000405311584,0.10277777910232544,736,0.7527173757553101,-0.012118772603571415,0.1261555552482605,0.1261555552482605
16202,compositional,factor,concern,2,0,random_norm_relation_token,890,0.8741573095321655,0.8561797738075256,0.0853932574391365,0.1528089940547943,0.08916667103767395,0.03861111029982567,736,0.5271739363670349,-0.09882500022649765,0.05377914384007454,0.1261555552482605
16203,compositional,factor,identity,0,0,matched_relation_token,898,0.9510022401809692,0.9532294273376465,0.9532294273376465,1.0,0.6808333396911621,0.036944445222616196,898,0.9766147136688232,0.7354691624641418,0.3375006318092346,0.3375006318092346
16203,compositional,factor,identity,0,0,random_norm_relation_token,898,0.9510022401809692,0.9532294273376465,0.20155902206897736,0.22605791687965393,0.14750000834465027,0.03055555559694767,898,0.7449888586997986,0.14318056404590607,0.08194462954998016,0.3375006318092346
16203,compositional,factor,beneficiary,1,0,matched_relation_token,900,0.8622222542762756,0.8411111235618591,0.8411111235618591,1.0,0.5649999976158142,0.01944444514811039,719,0.5215577483177185,-0.15007250010967255,0.06661373376846313,0.06661373376846313
16203,compositional,factor,beneficiary,1,0,random_norm_relation_token,900,0.8622222542762756,0.8411111235618591,0.22555555403232574,0.29777777194976807,0.125,0.020277777686715126,719,0.5243393778800964,-0.04228433221578598,0.031939003616571426,0.06661373376846313
16203,compositional,factor,concern,2,0,matched_relation_token,875,0.9977142810821533,0.9988571405410767,0.9988571405410767,1.0,0.7275000214576721,0.04777777940034866,710,0.8492957353591919,0.3760198652744293,0.10709893703460693,0.10709893703460693
16203,compositional,factor,concern,2,0,random_norm_relation_token,875,0.9977142810821533,0.9988571405410767,0.017142856493592262,0.018285714089870453,0.03166666626930237,0.02222222276031971,710,0.4746478796005249,-0.1107989177107811,0.058302056044340134,0.10709893703460693
16204,compositional,factor,identity,0,0,matched_relation_token,892,0.9977579116821289,0.9876682162284851,0.9876682162284851,1.0,0.73416668176651,0.14750000834465027,892,1.0,0.916814923286438,0.4441405236721039,0.4441405236721039
16204,compositional,factor,identity,0,0,random_norm_relation_token,892,0.9977579116821289,0.9876682162284851,0.05044843256473541,0.06165919452905655,0.04333333298563957,0.02111111208796501,892,0.6939462423324585,0.06586279720067978,0.04252901300787926,0.4441405236721039
16204,compositional,factor,beneficiary,1,0,matched_relation_token,913,0.996714174747467,0.996714174747467,0.996714174747467,1.0,0.7775000333786011,0.18694445490837097,741,0.9095816016197205,0.4406552016735077,0.13286791741847992,0.13286791741847992
16204,compositional,factor,beneficiary,1,0,random_norm_relation_token,913,0.996714174747467,0.996714174747467,0.03943045064806938,0.04271632060408592,0.03916666656732559,0.030277779325842857,741,0.6248312592506409,0.030254440382122993,0.03600335493683815,0.13286791741847992
16204,compositional,factor,concern,2,0,matched_relation_token,905,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.7541666626930237,0.09888888895511627,737,0.89552241563797,0.46413254737854004,0.09582609683275223,0.09582609683275223
16204,compositional,factor,concern,2,0,random_norm_relation_token,905,0.9999999403953552,0.9999999403953552,0.014364640228450298,0.014364640228450298,0.01666666753590107,0.017222221940755844,737,0.4667571187019348,-0.09571750462055206,0.04634452238678932,0.09582609683275223
16205,compositional,factor,identity,0,0,matched_relation_token,892,0.995515763759613,0.9988789558410645,0.9988789558410645,1.0,0.7391666769981384,0.162222221493721,892,0.995515763759613,0.8947120904922485,0.42387837171554565,0.42387837171554565
16205,compositional,factor,identity,0,0,random_norm_relation_token,892,0.995515763759613,0.9988789558410645,0.21973095834255219,0.22085203230381012,0.18666666746139526,0.05277777835726738,892,0.7040359377861023,0.17874984443187714,0.10259054601192474,0.42387837171554565
16205,compositional,factor,beneficiary,1,0,matched_relation_token,860,0.9988372325897217,0.9953488111495972,0.9953488111495972,1.0,0.7125000357627869,0.1922222226858139,694,0.8717579245567322,0.4089741110801697,0.16256022453308105,0.16256022453308105
16205,compositional,factor,beneficiary,1,0,random_norm_relation_token,860,0.9988372325897217,0.9953488111495972,0.12441860139369965,0.1290697604417801,0.13500000536441803,0.04416666924953461,694,0.48414984345436096,-0.14828500151634216,0.08814919739961624,0.16256022453308105
