kind,target,n_seeds,matched_minus_random_mean,ci_low,ci_high
factor,beneficiary,24,0.5372258894688761,0.35075938172327975,0.7133581840850335
factor,concern,24,0.8273253176788179,0.722658814508274,0.9185028662255111
factor,identity,24,0.7643712216522545,0.6731320692420316,0.8375572071546532
operator,allocation,24,0.5868750068669518,0.47346701758215204,0.6958350742662636
operator,protection,24,0.7007166685846945,0.5918915023755592,0.7955157151833798
