seed,layer,token,factor_a,factor_b,projection_overlap,min_angle_deg,mean_angle_deg
16131,0,cls,identity,beneficiary,1.0,0.0,0.0
16131,0,cls,identity,concern,1.0,0.0,0.0
16131,0,cls,beneficiary,concern,1.0,0.0,0.0
16131,0,entity0,identity,beneficiary,1.0,0.0,0.0
16131,0,entity0,identity,concern,1.0,0.0,0.0
16131,0,entity0,beneficiary,concern,1.0,0.0,0.0
16131,0,entity1,identity,beneficiary,1.0,0.0,0.0
16131,0,entity1,identity,concern,1.0,0.0,0.0
16131,0,entity1,beneficiary,concern,1.0,0.0,0.0
16131,0,identity_role,identity,beneficiary,0.028544651863890654,77.94761176101419,80.63900631213838
16131,0,identity_role,identity,concern,0.028544651863890654,77.94761176101419,80.63900631213838
16131,0,identity_role,beneficiary,concern,1.0,0.0,0.0
16131,0,beneficiary_role,identity,beneficiary,0.056941829829646115,71.0522771652366,77.88897244758104
16131,0,beneficiary_role,identity,concern,1.0,0.0,0.0
16131,0,beneficiary_role,beneficiary,concern,0.056941829829646094,71.0522771652366,77.88897244758104
16131,0,concern_context,identity,beneficiary,1.0,0.0,0.0
16131,0,concern_context,identity,concern,1.0,0.0,0.0
16131,0,concern_context,beneficiary,concern,1.0,0.0,0.0
16131,0,query,identity,beneficiary,1.0,0.0,0.0
16131,0,query,identity,concern,1.0,0.0,0.0
16131,0,query,beneficiary,concern,1.0,0.0,0.0
16131,1,cls,identity,beneficiary,0.43520023683279285,32.4813634668661,49.49868356983666
16131,1,cls,identity,concern,0.18472227843635602,57.4930952975716,65.49761303314602
16131,1,cls,beneficiary,concern,0.10545283722839918,63.05317637194971,74.39065067829242
16131,1,entity0,identity,beneficiary,0.6264923503238018,35.48276574533764,37.65138209592895
16131,1,entity0,identity,concern,0.16555684117244746,55.14401545528809,70.65233005127021
16131,1,entity0,beneficiary,concern,0.29637463034227707,47.06451759953804,58.01843217409204
16131,1,entity1,identity,beneficiary,0.6017153786931811,16.937576500695513,37.23102834161107
16131,1,entity1,identity,concern,0.33494652473359154,35.95345093683735,59.50526590756671
16131,1,entity1,beneficiary,concern,0.3604840678638723,37.340359903210334,54.998131809932985
16131,1,identity_role,identity,beneficiary,0.007331169977344244,83.32492572774561,85.69039330276408
16131,1,identity_role,identity,concern,0.029579950281680294,77.0632424231542,80.80373609809467
16131,1,identity_role,beneficiary,concern,0.23898491058552535,47.36366305691394,64.70187906491505
16131,1,beneficiary_role,identity,beneficiary,0.09136518804900122,64.79551903981209,76.33247998227196
16131,1,beneficiary_role,identity,concern,0.022387678814641276,77.92547982411624,83.04875271140402
16131,1,beneficiary_role,beneficiary,concern,0.05118603072825391,72.00889169792569,78.6096434124832
16131,1,concern_context,identity,beneficiary,0.5157006715975825,5.588851638263385,41.96152192774592
16131,1,concern_context,identity,concern,0.2433773018230243,46.48663276673,65.00932134477397
16131,1,concern_context,beneficiary,concern,0.3903473278363548,28.58206077315544,56.48292976370172
16131,1,query,identity,beneficiary,0.36434099403335035,31.428568731653677,60.02630043690925
16131,1,query,identity,concern,0.030990518135020424,76.98053901758523,80.44882092054192
16131,1,query,beneficiary,concern,0.14084198514942972,60.06397595910509,69.8268933354138
16131,2,cls,identity,beneficiary,0.311447544830983,40.317837729775974,59.27894144658099
16131,2,cls,identity,concern,0.2461896302114831,53.91709170324073,60.7465052546336
16131,2,cls,beneficiary,concern,0.2214729818443408,57.910110016667,62.13784546526722
16131,2,entity0,identity,beneficiary,0.354275100181998,37.2895220448568,55.6653337550176
16131,2,entity0,identity,concern,0.1976824592697491,51.60529792566876,67.98677134022498
16131,2,entity0,beneficiary,concern,0.22321966900518467,55.443968039047505,62.38214583039491
16131,2,entity1,identity,beneficiary,0.7708913031698286,19.06547591551803,27.713907216549106
16131,2,entity1,identity,concern,0.06827961196365377,72.53508617541449,75.04198608680511
16131,2,entity1,beneficiary,concern,0.14817467747966273,58.9534719009104,69.45883152726554
16131,2,identity_role,identity,beneficiary,0.03913617189330133,74.59150287376865,79.78255274067851
16131,2,identity_role,identity,concern,0.11953492229368191,61.222518088627226,73.15807299561256
16131,2,identity_role,beneficiary,concern,0.3533091325926233,32.84318520029047,60.6355341315265
16131,2,beneficiary_role,identity,beneficiary,0.4150546509998829,40.15688284486091,50.211681567716504
16131,2,beneficiary_role,identity,concern,0.11969333214386492,61.72637320821362,72.34440037227779
16131,2,beneficiary_role,beneficiary,concern,0.03614641773912078,76.04507596829875,79.60844262126383
16131,2,concern_context,identity,beneficiary,0.45318165946208616,36.21332998065678,47.92866337100402
16131,2,concern_context,identity,concern,0.34971991781807166,41.6739526021657,54.78800413128683
16131,2,concern_context,beneficiary,concern,0.38291542598982703,30.91344021033658,55.489613036377065
16131,2,query,identity,beneficiary,0.3235663177683088,42.32303440697542,56.921209084287526
16131,2,query,identity,concern,0.06777115627482647,68.41536876717828,78.7923310522665
16131,2,query,beneficiary,concern,0.12060550651139876,62.84326775772593,71.19756323596901
16131,3,cls,identity,beneficiary,0.3096191290582877,40.13928638686226,59.6932329700856
16131,3,cls,identity,concern,0.24872006366567667,53.67782326113706,60.58305755618345
16131,3,cls,beneficiary,concern,0.23769648723476183,56.22289564191224,61.07821973370196
16131,3,entity0,identity,beneficiary,0.3602643783746624,36.8174212504763,55.2122522601465
16131,3,entity0,identity,concern,0.20223358921574758,51.16819247848206,67.53402474339302
16131,3,entity0,beneficiary,concern,0.2242477728374988,54.68153892872075,62.461966303143484
16131,3,entity1,identity,beneficiary,0.7730168032062975,18.96028441083735,27.56761045824608
