seed,factor,train_query,test_query,layer,token,bacc
16130,identity,0,0,0,cls,0.5
16130,identity,0,3,0,cls,0.5
16130,identity,0,0,0,entity0,0.6655844155844155
16130,identity,0,3,0,entity0,0.5113636363636364
16130,identity,0,0,0,entity1,0.7159090909090908
16130,identity,0,3,0,entity1,0.5568181818181819
16130,identity,0,0,0,identity_role,1.0
16130,identity,0,3,0,identity_role,1.0
16130,identity,0,0,0,beneficiary_role,0.6477272727272727
16130,identity,0,3,0,beneficiary_role,0.4512987012987013
16130,identity,0,0,0,concern_context,0.5
16130,identity,0,3,0,concern_context,0.5
16130,identity,0,0,0,query,0.5
16130,identity,0,3,0,query,0.5
16130,identity,0,0,1,cls,1.0
16130,identity,0,3,1,cls,0.5227272727272727
16130,identity,0,0,1,entity0,0.9366883116883117
16130,identity,0,3,1,entity0,0.5324675324675324
16130,identity,0,0,1,entity1,1.0
16130,identity,0,3,1,entity1,0.564935064935065
16130,identity,0,0,1,identity_role,1.0
16130,identity,0,3,1,identity_role,1.0
16130,identity,0,0,1,beneficiary_role,0.9821428571428572
16130,identity,0,3,1,beneficiary_role,0.560064935064935
16130,identity,0,0,1,concern_context,0.8555194805194806
16130,identity,0,3,1,concern_context,0.5146103896103896
16130,identity,0,0,1,query,1.0
16130,identity,0,3,1,query,0.5
16130,identity,0,0,2,cls,1.0
16130,identity,0,3,2,cls,0.5698051948051949
16130,identity,0,0,2,entity0,1.0
16130,identity,0,3,2,entity0,0.5714285714285714
16130,identity,0,0,2,entity1,1.0
16130,identity,0,3,2,entity1,0.7191558441558441
16130,identity,0,0,2,identity_role,1.0
16130,identity,0,3,2,identity_role,1.0
16130,identity,0,0,2,beneficiary_role,1.0
16130,identity,0,3,2,beneficiary_role,0.7012987012987013
16130,identity,0,0,2,concern_context,1.0
16130,identity,0,3,2,concern_context,0.737012987012987
16130,identity,0,0,2,query,1.0
16130,identity,0,3,2,query,0.5340909090909091
16130,identity,0,0,3,cls,1.0
16130,identity,0,3,3,cls,0.5698051948051949
16130,identity,0,0,3,entity0,1.0
16130,identity,0,3,3,entity0,0.5714285714285714
16130,identity,0,0,3,entity1,1.0
16130,identity,0,3,3,entity1,0.7012987012987013
16130,identity,0,0,3,identity_role,1.0
16130,identity,0,3,3,identity_role,1.0
16130,identity,0,0,3,beneficiary_role,1.0
16130,identity,0,3,3,beneficiary_role,0.7012987012987013
16130,identity,0,0,3,concern_context,1.0
16130,identity,0,3,3,concern_context,0.737012987012987
16130,identity,0,0,3,query,1.0
16130,identity,0,3,3,query,0.49837662337662336
16130,beneficiary,1,1,0,cls,0.5
16130,beneficiary,1,3,0,cls,0.5
16130,beneficiary,1,1,0,entity0,0.5977564102564102
16130,beneficiary,1,3,0,entity0,0.4675324675324675
16130,beneficiary,1,1,0,entity1,0.719551282051282
16130,beneficiary,1,3,0,entity1,0.5535714285714286
16130,beneficiary,1,1,0,identity_role,0.6971153846153846
16130,beneficiary,1,3,0,identity_role,0.512987012987013
16130,beneficiary,1,1,0,beneficiary_role,1.0
16130,beneficiary,1,3,0,beneficiary_role,1.0
16130,beneficiary,1,1,0,concern_context,0.5
16130,beneficiary,1,3,0,concern_context,0.5
16130,beneficiary,1,1,0,query,0.5
16130,beneficiary,1,3,0,query,0.5
16130,beneficiary,1,1,1,cls,0.9791666666666667
16130,beneficiary,1,3,1,cls,0.5
16130,beneficiary,1,1,1,entity0,0.9198717948717949
16130,beneficiary,1,3,1,entity0,0.6298701298701299
16130,beneficiary,1,1,1,entity1,0.9791666666666667
16130,beneficiary,1,3,1,entity1,0.6168831168831169
16130,beneficiary,1,1,1,identity_role,0.9791666666666667
16130,beneficiary,1,3,1,identity_role,0.5762987012987013
16130,beneficiary,1,1,1,beneficiary_role,1.0
16130,beneficiary,1,3,1,beneficiary_role,1.0
16130,beneficiary,1,1,1,concern_context,0.8990384615384616
16130,beneficiary,1,3,1,concern_context,0.6282467532467533
16130,beneficiary,1,1,1,query,1.0
16130,beneficiary,1,3,1,query,0.5
16130,beneficiary,1,1,2,cls,1.0
16130,beneficiary,1,3,2,cls,0.8863636363636364
16130,beneficiary,1,1,2,entity0,1.0
16130,beneficiary,1,3,2,entity0,0.6818181818181819
16130,beneficiary,1,1,2,entity1,1.0
16130,beneficiary,1,3,2,entity1,0.6818181818181819
16130,beneficiary,1,1,2,identity_role,1.0
16130,beneficiary,1,3,2,identity_role,0.8831168831168831
16130,beneficiary,1,1,2,beneficiary_role,1.0
16130,beneficiary,1,3,2,beneficiary_role,1.0
16130,beneficiary,1,1,2,concern_context,1.0
16130,beneficiary,1,3,2,concern_context,0.8522727272727273
16130,beneficiary,1,1,2,query,1.0
16130,beneficiary,1,3,2,query,1.0
16130,beneficiary,1,1,3,cls,1.0
16130,beneficiary,1,3,3,cls,0.8863636363636364
16130,beneficiary,1,1,3,entity0,1.0
16130,beneficiary,1,3,3,entity0,0.6818181818181819
16130,beneficiary,1,1,3,entity1,0.9791666666666667
16130,beneficiary,1,3,3,entity1,0.6818181818181819
16130,beneficiary,1,1,3,identity_role,1.0
16130,beneficiary,1,3,3,identity_role,0.8831168831168831
16130,beneficiary,1,1,3,beneficiary_role,1.0
16130,beneficiary,1,3,3,beneficiary_role,1.0
16130,beneficiary,1,1,3,concern_context,1.0
16130,beneficiary,1,3,3,concern_context,0.8522727272727273
16130,beneficiary,1,1,3,query,1.0
16130,beneficiary,1,3,3,query,1.0
16130,concern,2,2,0,cls,0.5
16130,concern,2,3,0,cls,0.5
16130,concern,2,2,0,entity0,0.7
16130,concern,2,3,0,entity0,0.48397435897435903
16130,concern,2,2,0,entity1,0.7250000000000001
16130,concern,2,3,0,entity1,0.44551282051282054
16130,concern,2,2,0,identity_role,0.625
16130,concern,2,3,0,identity_role,0.46794871794871795
16130,concern,2,2,0,beneficiary_role,0.6166666666666667
16130,concern,2,3,0,beneficiary_role,0.4230769230769231
16130,concern,2,2,0,concern_context,1.0
16130,concern,2,3,0,concern_context,1.0
16130,concern,2,2,0,query,0.5
16130,concern,2,3,0,query,0.5
16130,concern,2,2,1,cls,1.0
16130,concern,2,3,1,cls,1.0
16130,concern,2,2,1,entity0,0.9333333333333333
16130,concern,2,3,1,entity0,0.6618589743589745
16130,concern,2,2,1,entity1,0.9416666666666667
16130,concern,2,3,1,entity1,0.39743589743589747
16130,concern,2,2,1,identity_role,0.8583333333333334
16130,concern,2,3,1,identity_role,0.45833333333333337
16130,concern,2,2,1,beneficiary_role,0.9166666666666667
16130,concern,2,3,1,beneficiary_role,0.47115384615384615
16130,concern,2,2,1,concern_context,1.0
16130,concern,2,3,1,concern_context,1.0
16130,concern,2,2,1,query,1.0
16130,concern,2,3,1,query,0.5
16130,concern,2,2,2,cls,1.0
16130,concern,2,3,2,cls,0.9375
16130,concern,2,2,2,entity0,1.0
16130,concern,2,3,2,entity0,0.592948717948718
16130,concern,2,2,2,entity1,1.0
16130,concern,2,3,2,entity1,0.6987179487179487
16130,concern,2,2,2,identity_role,1.0
16130,concern,2,3,2,identity_role,0.6907051282051282
16130,concern,2,2,2,beneficiary_role,1.0
16130,concern,2,3,2,beneficiary_role,0.6346153846153846
16130,concern,2,2,2,concern_context,1.0
16130,concern,2,3,2,concern_context,1.0
16130,concern,2,2,2,query,1.0
16130,concern,2,3,2,query,0.7163461538461539
16130,concern,2,2,3,cls,1.0
16130,concern,2,3,3,cls,0.9375
16130,concern,2,2,3,entity0,1.0
16130,concern,2,3,3,entity0,0.592948717948718
16130,concern,2,2,3,entity1,1.0
16130,concern,2,3,3,entity1,0.6987179487179487
16130,concern,2,2,3,identity_role,1.0
16130,concern,2,3,3,identity_role,0.6907051282051282
16130,concern,2,2,3,beneficiary_role,1.0
16130,concern,2,3,3,beneficiary_role,0.6346153846153846
16130,concern,2,2,3,concern_context,1.0
16130,concern,2,3,3,concern_context,1.0
16130,concern,2,2,3,query,1.0
16130,concern,2,3,3,query,0.7163461538461539
