layer,token,factor_a,factor_b,seed,projection_overlap,min_angle_deg,mean_angle_deg
0,beneficiary_role,beneficiary,concern,16130.0,0.03990779491132547,76.26491543272056,78.72900235546315
0,beneficiary_role,identity,beneficiary,16130.0,0.03990779491132546,76.26491543272056,78.72900235546315
0,beneficiary_role,identity,concern,16130.0,1.0,0.0,0.0
0,cls,beneficiary,concern,16130.0,1.0,0.0,0.0
0,cls,identity,beneficiary,16130.0,1.0,0.0,0.0
0,cls,identity,concern,16130.0,1.0,0.0,0.0
0,concern_context,beneficiary,concern,16130.0,1.0,0.0,0.0
0,concern_context,identity,beneficiary,16130.0,1.0,0.0,0.0
0,concern_context,identity,concern,16130.0,1.0,0.0,0.0
0,entity0,beneficiary,concern,16130.0,1.0,0.0,0.0
0,entity0,identity,beneficiary,16130.0,1.0,0.0,0.0
0,entity0,identity,concern,16130.0,1.0,0.0,0.0
0,entity1,beneficiary,concern,16130.0,1.0,0.0,0.0
0,entity1,identity,beneficiary,16130.0,1.0,0.0,0.0
0,entity1,identity,concern,16130.0,1.0,0.0,0.0
0,identity_role,beneficiary,concern,16130.0,1.0,0.0,0.0
0,identity_role,identity,beneficiary,16130.0,0.032888122514931784,77.60503503535551,79.76808468928928
0,identity_role,identity,concern,16130.0,0.032888122514931784,77.60503503535551,79.76808468928928
0,query,beneficiary,concern,16130.0,1.0,0.0,0.0
0,query,identity,beneficiary,16130.0,1.0,0.0,0.0
0,query,identity,concern,16130.0,1.0,0.0,0.0
1,beneficiary_role,beneficiary,concern,16130.0,0.013245805380285232,80.64216911679856,85.11269564396305
1,beneficiary_role,identity,beneficiary,16130.0,0.06666132208976533,69.53713769770602,76.74439215750121
1,beneficiary_role,identity,concern,16130.0,0.2273259492946575,52.27317801516029,62.909298236452216
1,cls,beneficiary,concern,16130.0,0.37717510783461394,38.836234145816654,53.12145250122978
1,cls,identity,beneficiary,16130.0,0.7302381877525139,18.512976790344844,29.996088769839268
1,cls,identity,concern,16130.0,0.454326917810871,38.57862495815463,47.761598470140996
1,concern_context,beneficiary,concern,16130.0,0.24950820388651684,45.05691061085836,67.43930240148461
1,concern_context,identity,beneficiary,16130.0,0.5487812395993933,21.242503427125634,41.331835411142606
1,concern_context,identity,concern,16130.0,0.20756668601928066,49.89036626538854,69.7013700753604
1,entity0,beneficiary,concern,16130.0,0.25750500116323033,45.003824310934505,63.97541233473205
1,entity0,identity,beneficiary,16130.0,0.538936792449638,26.034612092116497,42.34733953659679
1,entity0,identity,concern,16130.0,0.35337815589363747,39.56788716057347,54.98451423221884
1,entity1,beneficiary,concern,16130.0,0.14974318425558447,57.26501849590976,71.22059950364923
1,entity1,identity,beneficiary,16130.0,0.4916021594155925,19.83545377945475,45.779690154198114
1,entity1,identity,concern,16130.0,0.16648006674241023,55.016845200440905,70.6402652674353
1,identity_role,beneficiary,concern,16130.0,0.10986343656996685,62.44740669253142,74.04688013010244
1,identity_role,identity,beneficiary,16130.0,0.06593550536042454,68.93590768228619,77.98035505559861
1,identity_role,identity,concern,16130.0,0.0341173453353489,74.98025156541442,81.55069447587414
