seed,factor,layer,phase,patch,conflict_n,follow,policy_change,outcome_change_mae
16150,beneficiary,1,3,phase_only,275,0.0,0.0,0.005160389002412558
16150,beneficiary,1,3,own_plus_phase,275,0.0,0.0,0.006618889048695564
16150,beneficiary,1,3,cross_plus_phase,275,0.003636363660916686,0.0020000000949949026,0.0062166242860257626
16150,beneficiary,1,3,entities_plus_phase,275,1.0,0.550000011920929,0.056479766964912415
16150,beneficiary,1,3,shuffled_own_plus_phase,275,0.1090909093618393,0.4320000112056732,0.15773864090442657
16150,beneficiary,1,3,random_norm_own_plus_phase,275,0.0,0.0,0.008422560058534145
16150,beneficiary,2,1,own_role,359,0.0,0.0,0.0
16150,beneficiary,2,1,phase_only,359,1.0,0.7179999947547913,0.2645878195762634
16150,beneficiary,2,1,own_plus_phase,359,1.0,0.7179999947547913,0.2645878195762634
16150,beneficiary,2,1,cross_plus_phase,359,1.0,0.7179999947547913,0.2645878195762634
16150,beneficiary,2,1,entities_plus_phase,359,1.0,0.7179999947547913,0.2645878195762634
16150,beneficiary,2,1,shuffled_own_plus_phase,359,0.30362117290496826,0.6119999885559082,0.29212215542793274
16150,beneficiary,2,1,random_norm_own_plus_phase,359,0.005571030545979738,0.029999999329447746,0.1749267280101776
16150,beneficiary,2,3,own_role,275,0.0,0.0,0.0
16150,beneficiary,2,3,phase_only,275,1.0,0.550000011920929,0.054160770028829575
16150,beneficiary,2,3,own_plus_phase,275,1.0,0.550000011920929,0.054160770028829575
16150,beneficiary,2,3,cross_plus_phase,275,1.0,0.550000011920929,0.054160770028829575
16150,beneficiary,2,3,entities_plus_phase,275,1.0,0.550000011920929,0.054160770028829575
16150,beneficiary,2,3,shuffled_own_plus_phase,275,0.26181817054748535,0.734000027179718,0.31085652112960815
16150,beneficiary,2,3,random_norm_own_plus_phase,275,0.02545454539358616,0.04800000041723251,0.12197759002447128
16150,concern,0,2,own_role,362,1.0,0.7239999771118164,0.30307725071907043
16150,concern,0,2,phase_only,362,0.0,0.0,0.0
16150,concern,0,2,own_plus_phase,362,1.0,0.7239999771118164,0.30307725071907043
16150,concern,0,2,cross_plus_phase,362,0.0,0.0,0.0
16150,concern,0,2,entities_plus_phase,362,0.0,0.0,0.0
16150,concern,0,2,shuffled_own_plus_phase,362,0.48342540860176086,0.3499999940395355,0.14775687456130981
16150,concern,0,2,random_norm_own_plus_phase,362,0.027624309062957764,0.026000000536441803,0.03573426231741905
16150,concern,0,3,own_role,139,1.0,0.27799999713897705,0.30173259973526
16150,concern,0,3,phase_only,139,0.0,0.0,0.0
16150,concern,0,3,own_plus_phase,139,1.0,0.27799999713897705,0.30173259973526
16150,concern,0,3,cross_plus_phase,139,0.0,0.0,0.0
16150,concern,0,3,entities_plus_phase,139,0.0,0.0,0.0
16150,concern,0,3,shuffled_own_plus_phase,139,0.46043166518211365,0.12800000607967377,0.1393536776304245
16150,concern,0,3,random_norm_own_plus_phase,139,0.007194244768470526,0.0020000000949949026,0.03686438873410225
16150,concern,1,2,own_role,362,0.9309391975402832,0.7020000219345093,0.3049194812774658
16150,concern,1,2,phase_only,362,0.024861877784132957,0.04600000008940697,0.0196773000061512
16150,concern,1,2,own_plus_phase,362,1.0,0.7239999771118164,0.3034108877182007
16150,concern,1,2,cross_plus_phase,362,0.024861877784132957,0.04600000008940697,0.019657423719763756
16150,concern,1,2,entities_plus_phase,362,0.024861877784132957,0.04600000008940697,0.020506221801042557
16150,concern,1,2,shuffled_own_plus_phase,362,0.4116021990776062,0.4519999921321869,0.2735670804977417
16150,concern,1,2,random_norm_own_plus_phase,362,0.03591160103678703,0.03200000151991844,0.05323779210448265
16150,concern,1,3,own_role,139,0.9856114983558655,0.27399998903274536,0.30213138461112976
16150,concern,1,3,phase_only,139,0.028776979073882103,0.00800000037997961,0.008298438973724842
16150,concern,1,3,own_plus_phase,139,1.0,0.27799999713897705,0.3021131455898285
16150,concern,1,3,cross_plus_phase,139,0.028776979073882103,0.009999999776482582,0.00839841365814209
16150,concern,1,3,entities_plus_phase,139,0.028776979073882103,0.00800000037997961,0.008616008795797825
16150,concern,1,3,shuffled_own_plus_phase,139,0.4316546618938446,0.4740000069141388,0.26530876755714417
16150,concern,1,3,random_norm_own_plus_phase,139,0.0,0.00800000037997961,0.0537799671292305
16150,concern,2,2,own_role,362,0.0,0.0,0.0
16150,concern,2,2,phase_only,362,1.0,0.7239999771118164,0.30307725071907043
16150,concern,2,2,own_plus_phase,362,1.0,0.7239999771118164,0.30307725071907043
16150,concern,2,2,cross_plus_phase,362,1.0,0.7239999771118164,0.30307725071907043
16150,concern,2,2,entities_plus_phase,362,1.0,0.7239999771118164,0.30307725071907043
16150,concern,2,2,shuffled_own_plus_phase,362,0.3618784546852112,0.5580000281333923,0.31701382994651794
16150,concern,2,2,random_norm_own_plus_phase,362,0.0220994483679533,0.029999999329447746,0.14113476872444153
16150,concern,2,3,own_role,139,0.0,0.0,0.0
16150,concern,2,3,phase_only,139,1.0,0.27799999713897705,0.30173259973526
16150,concern,2,3,own_plus_phase,139,1.0,0.27799999713897705,0.30173259973526
16150,concern,2,3,cross_plus_phase,139,1.0,0.27799999713897705,0.30173259973526
16150,concern,2,3,entities_plus_phase,139,1.0,0.27799999713897705,0.30173259973526
16150,concern,2,3,shuffled_own_plus_phase,139,0.28776979446411133,0.7080000042915344,0.2974180281162262
16150,concern,2,3,random_norm_own_plus_phase,139,0.02158273383975029,0.014000000432133675,0.10063933581113815
16151,identity,0,0,own_role,380,1.0,0.7599999904632568,0.4892943799495697
16151,identity,0,0,phase_only,380,0.0,0.0,0.0
16151,identity,0,0,own_plus_phase,380,1.0,0.7599999904632568,0.4892943799495697
16151,identity,0,0,cross_plus_phase,380,0.0,0.0,0.0
16151,identity,0,0,entities_plus_phase,380,0.0,0.0,0.0
16151,identity,0,0,shuffled_own_plus_phase,380,0.5105262994766235,0.3880000114440918,0.26015979051589966
16151,identity,0,0,random_norm_own_plus_phase,380,0.021052632480859756,0.017999999225139618,0.026624256744980812
16151,identity,0,3,own_role,233,1.0,0.4659999907016754,0.04170796275138855
16151,identity,0,3,phase_only,233,0.0,0.0,0.0
16151,identity,0,3,own_plus_phase,233,1.0,0.4659999907016754,0.04170796275138855
16151,identity,0,3,cross_plus_phase,233,0.0,0.0,0.0
16151,identity,0,3,entities_plus_phase,233,0.0,0.0,0.0
16151,identity,0,3,shuffled_own_plus_phase,233,0.41201716661453247,0.20200000703334808,0.03595142811536789
16151,identity,0,3,random_norm_own_plus_phase,233,0.16309012472629547,0.09200000017881393,0.03629019856452942
16151,identity,1,0,own_role,380,0.0,0.0,0.009059157222509384
16151,identity,1,0,phase_only,380,0.0,0.0,0.009927994571626186
16151,identity,1,0,own_plus_phase,380,0.015789473429322243,0.012000000104308128,0.018633749336004257
16151,identity,1,0,cross_plus_phase,380,0.0,0.0,0.01065900456160307
16151,identity,1,0,entities_plus_phase,380,1.0,0.7599999904632568,0.4800855815410614
16151,identity,1,0,shuffled_own_plus_phase,380,0.1473684161901474,0.32600000500679016,0.26382750272750854
16151,identity,1,0,random_norm_own_plus_phase,380,0.0,0.0,0.016821160912513733
16151,identity,1,3,own_role,233,0.07296137511730194,0.03799999877810478,0.01127304695546627
16151,identity,1,3,phase_only,233,0.557939887046814,0.26600000262260437,0.03177957236766815
16151,identity,1,3,own_plus_phase,233,0.7124463319778442,0.33799999952316284,0.035998620092868805
16151,identity,1,3,cross_plus_phase,233,0.6094420552253723,0.2879999876022339,0.03307408466935158
16151,identity,1,3,entities_plus_phase,233,0.8798283338546753,0.41200000047683716,0.040739767253398895
16151,identity,1,3,shuffled_own_plus_phase,233,0.270386278629303,0.6019999980926514,0.20596307516098022
16151,identity,1,3,random_norm_own_plus_phase,233,0.05150214582681656,0.03999999910593033,0.06000921130180359
16151,identity,2,0,own_role,380,0.0,0.0,0.0
16151,identity,2,0,phase_only,380,1.0,0.7599999904632568,0.4892943799495697
16151,identity,2,0,own_plus_phase,380,1.0,0.7599999904632568,0.4892943799495697
16151,identity,2,0,cross_plus_phase,380,1.0,0.7599999904632568,0.4892943799495697
16151,identity,2,0,entities_plus_phase,380,1.0,0.7599999904632568,0.4892943799495697
16151,identity,2,0,shuffled_own_plus_phase,380,0.35789474844932556,0.6480000019073486,0.4956538677215576
16151,identity,2,0,random_norm_own_plus_phase,380,0.0026315790601074696,0.012000000104308128,0.13350044190883636
16151,identity,2,3,own_role,233,0.0,0.0,0.0
16151,identity,2,3,phase_only,233,1.0,0.4659999907016754,0.04170796275138855
16151,identity,2,3,own_plus_phase,233,1.0,0.4659999907016754,0.04170796275138855
16151,identity,2,3,cross_plus_phase,233,1.0,0.4659999907016754,0.04170796275138855
16151,identity,2,3,entities_plus_phase,233,1.0,0.4659999907016754,0.04170796275138855
16151,identity,2,3,shuffled_own_plus_phase,233,0.270386278629303,0.7319999933242798,0.30312246084213257
16151,identity,2,3,random_norm_own_plus_phase,233,0.05150214582681656,0.04600000008940697,0.12169820815324783
16151,beneficiary,0,1,own_role,367,1.0,0.734000027179718,0.26353785395622253
16151,beneficiary,0,1,phase_only,367,0.0,0.0,0.0
16151,beneficiary,0,1,own_plus_phase,367,1.0,0.734000027179718,0.26353785395622253
16151,beneficiary,0,1,cross_plus_phase,367,0.0,0.0,0.0
16151,beneficiary,0,1,entities_plus_phase,367,0.0,0.0,0.0
16151,beneficiary,0,1,shuffled_own_plus_phase,367,0.46866485476493835,0.3540000021457672,0.1590183824300766
16151,beneficiary,0,1,random_norm_own_plus_phase,367,0.1607629358768463,0.13600000739097595,0.10446491837501526
16151,beneficiary,0,3,own_role,271,1.0,0.5419999957084656,0.03864079341292381
16151,beneficiary,0,3,phase_only,271,0.0,0.0,0.0
16151,beneficiary,0,3,own_plus_phase,271,1.0,0.5419999957084656,0.03864079341292381
16151,beneficiary,0,3,cross_plus_phase,271,0.0,0.0,0.0
16151,beneficiary,0,3,entities_plus_phase,271,0.0,0.0,0.0
16151,beneficiary,0,3,shuffled_own_plus_phase,271,0.40590405464172363,0.23199999332427979,0.0313168466091156
16151,beneficiary,0,3,random_norm_own_plus_phase,271,0.16605165600776672,0.1379999965429306,0.06447587162256241
16151,beneficiary,1,1,own_role,367,0.8446866273880005,0.6320000290870667,0.2526898980140686
16151,beneficiary,1,1,phase_only,367,0.06539509445428848,0.07199999690055847,0.1208982765674591
16151,beneficiary,1,1,own_plus_phase,367,0.9945504069328308,0.7300000190734863,0.2572430968284607
16151,beneficiary,1,1,cross_plus_phase,367,0.06539509445428848,0.07199999690055847,0.12068448960781097
16151,beneficiary,1,1,entities_plus_phase,367,0.10081744194030762,0.09399999678134918,0.10732205212116241
16151,beneficiary,1,1,shuffled_own_plus_phase,367,0.3351498544216156,0.621999979019165,0.2607814371585846
16151,beneficiary,1,1,random_norm_own_plus_phase,367,0.07084468752145767,0.05999999865889549,0.1150890365242958
16151,beneficiary,1,3,own_role,271,0.4944649338722229,0.32600000500679016,0.03817732632160187
