factor,layer,phase,patch,mean_follow,min_follow,max_follow,mean_policy_change,mean_outcome_change,total_conflicts
identity,1,3,phase_only,0.5164520740509033,0.0,0.991416335105896,0.24333332975705466,0.029640092126404245,723
identity,1,3,random_norm_own_plus_phase,0.022889842589696247,0.0,0.05150214582681656,0.029999999795109034,0.053524401504546404,723
identity,1,3,shuffled_own_plus_phase,0.28377393384774524,0.15175096690654755,0.42918455600738525,0.515999992688497,0.18103644251823425,723
identity,2,0,cross_plus_phase,1.0,1.0,1.0,0.7606666684150696,0.4901593128840129,1141
identity,2,0,entities_plus_phase,1.0,1.0,1.0,0.7606666684150696,0.4901593128840129,1141
identity,2,0,own_plus_phase,1.0,1.0,1.0,0.7606666684150696,0.4901593128840129,1141
identity,2,0,own_role,0.0,0.0,0.0,0.0,0.0,1141
identity,2,0,phase_only,1.0,1.0,1.0,0.7606666684150696,0.4901593128840129,1141
identity,2,0,random_norm_own_plus_phase,0.003513595166926583,0.0026041667442768812,0.005305039696395397,0.013333333345750967,0.12777652343114218,1141
identity,2,0,shuffled_own_plus_phase,0.3436157802740733,0.328125,0.35789474844932556,0.6366666555404663,0.49452511469523114,1141
identity,2,3,cross_plus_phase,1.0,1.0,1.0,0.4819999933242798,0.04553210983673731,723
identity,2,3,entities_plus_phase,1.0,1.0,1.0,0.4819999933242798,0.04553210983673731,723
identity,2,3,own_plus_phase,1.0,1.0,1.0,0.4819999933242798,0.04553210983673731,723
identity,2,3,own_role,0.0,0.0,0.0,0.0,0.0,723
identity,2,3,phase_only,1.0,1.0,1.0,0.4819999933242798,0.04553210983673731,723
identity,2,3,random_norm_own_plus_phase,0.029508525195221107,0.015564202331006527,0.05150214582681656,0.03199999965727329,0.11297553032636642,723
identity,2,3,shuffled_own_plus_phase,0.2735091249148051,0.2660944163799286,0.2840466797351837,0.734666665395101,0.30469515919685364,723
