eval_mode,name,action_acc_mean,action_acc_min,action_acc_max,outcome_mae_mean
factor_ood,allocation,0.9944444497426351,0.9844444394111632,1.0,0.08642669767141341
factor_ood,continuity,1.0,1.0,1.0,0.017201408743858268
factor_ood,integrated,0.9942592779795328,0.9916666746139526,0.995555579662323,0.07139794280131655
factor_ood,protection,0.998888889948527,0.996666669845581,1.0,0.054272414495547566
id,allocation,0.9948148131370544,0.9844444394111632,1.0,0.0855311453342437
id,continuity,1.0,1.0,1.0,0.015978118715186833
id,integrated,0.9964814782142639,0.9927777647972108,0.9983333349227904,0.0640868172049522
id,protection,0.998888889948527,0.996666669845581,1.0,0.053478352725505766
rule_ood,allocation,0.8788888851801554,0.8700000047683716,0.8949999809265137,0.09513005365928011
rule_ood,continuity,1.0,1.0,1.0,0.015844722899297798
rule_ood,integrated,0.9974073966344198,0.9961110949516296,0.9983333349227904,0.072165697813034
rule_ood,protection,0.8853703737258911,0.8788889050483704,0.894444465637207,0.0682063301404317
symbol_ood,allocation,0.9916666746139526,0.9816666841506958,1.0,0.08961453288793564
symbol_ood,continuity,0.9990740617116293,0.9977777600288392,1.0,0.019400520250201166
symbol_ood,integrated,0.9792592525482178,0.9427777528762816,0.9977777600288392,0.06500762452681853
symbol_ood,protection,0.9981481432914734,0.9944444298744202,1.0,0.05447769165039057
