seed,eval_mode,phase,name,action_acc,outcome_mae
16160,id,0,continuity,1.0,0.0231576953083276
16160,id,1,allocation,1.0,0.0902364701032638
16160,id,2,protection,0.9977777600288392,0.0593709200620651
16160,id,3,integrated,0.995555579662323,0.0829085931181907
16160,encoding_ood,0,continuity,0.7944444417953491,0.1867191195487976
16160,encoding_ood,1,allocation,0.652222216129303,0.1604862660169601
16160,encoding_ood,2,protection,0.894444465637207,0.1268505156040191
16160,encoding_ood,3,integrated,0.7400000095367432,0.121742345392704
16160,factor_ood,0,continuity,1.0,0.0308254938572645
16160,factor_ood,1,allocation,1.0,0.0907600298523902
16160,factor_ood,2,protection,0.9961110949516296,0.0601704828441143
16160,factor_ood,3,integrated,0.9950000047683716,0.0893347784876823
16160,rule_ood,0,continuity,1.0,0.0226565990597009
16160,rule_ood,1,allocation,0.5633333325386047,0.1537133157253265
16160,rule_ood,2,protection,0.5505555272102356,0.0905751213431358
16160,rule_ood,3,integrated,0.9944444298744202,0.1028181686997413
16161,id,0,continuity,1.0,0.0204073376953601
16161,id,1,allocation,1.0,0.0707421973347663
16161,id,2,protection,1.0,0.0426287539303302
16161,id,3,integrated,0.9994444251060486,0.0643556341528892
16161,encoding_ood,0,continuity,0.6416666507720947,0.2768101096153259
16161,encoding_ood,1,allocation,0.4666666686534881,0.2354754358530044
16161,encoding_ood,2,protection,0.9116666913032532,0.1040456816554069
16161,encoding_ood,3,integrated,0.6883333325386047,0.1348445266485214
16161,factor_ood,0,continuity,1.0,0.0223787520080804
16161,factor_ood,1,allocation,1.0,0.0732763186097145
16161,factor_ood,2,protection,1.0,0.0471298657357692
16161,factor_ood,3,integrated,1.0,0.0733016356825828
16161,rule_ood,0,continuity,1.0,0.0206609722226858
16161,rule_ood,1,allocation,0.8877778053283691,0.1519995182752609
16161,rule_ood,2,protection,0.9911110997200012,0.0545206107199192
16161,rule_ood,3,integrated,0.9950000047683716,0.0875369533896446
16162,id,0,continuity,1.0,0.0227064527571201
16162,id,1,allocation,1.0,0.0749113112688064
16162,id,2,protection,1.0,0.0548414513468742
16162,id,3,integrated,0.9927777647972108,0.0778137594461441
16162,encoding_ood,0,continuity,0.7416666746139526,0.2565336525440216
16162,encoding_ood,1,allocation,0.6166666746139526,0.2372283637523651
16162,encoding_ood,2,protection,0.9711111187934875,0.0967401340603828
16162,encoding_ood,3,integrated,0.8244444727897644,0.1071334332227706
16162,factor_ood,0,continuity,1.0,0.0234361514449119
16162,factor_ood,1,allocation,1.0,0.0765521675348281
16162,factor_ood,2,protection,1.0,0.0556759387254715
16162,factor_ood,3,integrated,0.9855555295944214,0.0874128639698028
16162,rule_ood,0,continuity,1.0,0.0235240403562784
16162,rule_ood,1,allocation,0.378888875246048,0.2126555442810058
16162,rule_ood,2,protection,0.9661111235618592,0.0708792805671691
16162,rule_ood,3,integrated,0.992222249507904,0.0906198173761367
16163,id,0,continuity,1.0,0.0388420037925243
16163,id,1,allocation,0.952222228050232,0.1237772703170776
16163,id,2,protection,0.9961110949516296,0.0715963393449783
16163,id,3,integrated,0.972777783870697,0.0975866168737411
16163,encoding_ood,0,continuity,0.5866666436195374,0.2551661133766174
16163,encoding_ood,1,allocation,0.5716666579246521,0.1986013799905777
16163,encoding_ood,2,protection,0.5327777862548828,0.1827309280633926
16163,encoding_ood,3,integrated,0.6288889050483704,0.1892359554767608
16163,factor_ood,0,continuity,1.0,0.0394060723483562
16163,factor_ood,1,allocation,0.9516666531562804,0.1255348622798919
16163,factor_ood,2,protection,0.9961110949516296,0.0720839723944664
16163,factor_ood,3,integrated,0.9711111187934875,0.109828382730484
16163,rule_ood,0,continuity,0.9994444251060486,0.040430162101984
16163,rule_ood,1,allocation,0.7583333253860474,0.143618106842041
16163,rule_ood,2,protection,0.9572222232818604,0.0823197066783905
16163,rule_ood,3,integrated,0.9566666483879088,0.1193393394351005
16164,id,0,continuity,1.0,0.0135467546060681
16164,id,1,allocation,1.0,0.0654315203428268
16164,id,2,protection,1.0,0.0476753897964954
16164,id,3,integrated,0.9994444251060486,0.064876027405262
16164,encoding_ood,0,continuity,0.6472222208976746,0.2172320038080215
16164,encoding_ood,1,allocation,0.629444420337677,0.1805221736431121
16164,encoding_ood,2,protection,0.9038888812065125,0.1683582067489624
16164,encoding_ood,3,integrated,0.5827777981758118,0.1572593450546264
16164,factor_ood,0,continuity,1.0,0.0149440811946988
16164,factor_ood,1,allocation,1.0,0.0681996718049049
16164,factor_ood,2,protection,1.0,0.0465276129543781
16164,factor_ood,3,integrated,0.9994444251060486,0.0711529403924942
16164,rule_ood,0,continuity,1.0,0.014187129214406
16164,rule_ood,1,allocation,0.7605555653572083,0.0982195734977722
16164,rule_ood,2,protection,0.8161110877990723,0.0617305189371109
16164,rule_ood,3,integrated,0.9983333349227904,0.0850540101528167
