seed,factor,phase,patch,conflict_n,policy_follow,policy_change,outcome_diff_n,outcome_closer_cf,outcome_mediation,model_output_shift,cf_model_gap
16165,identity,0,role_only,377,0.0,0.0,377,0.5251989364624023,-0.0004886140814051032,0.0013128118589520454,0.4921480715274811
16165,identity,0,entities_only,377,0.9469496011734009,0.7300000190734863,377,0.9946949481964111,0.8308107256889343,0.4405299723148346,0.4921480715274811
16165,identity,0,phase_only,377,0.07957559823989868,0.07400000095367432,377,0.8620689511299133,0.1392541378736496,0.06932608783245087,0.4921480715274811
16165,identity,0,role_phase,377,0.08488063514232635,0.07800000160932541,377,0.8514589071273804,0.13910134136676788,0.06896413862705231,0.4921480715274811
16165,identity,0,entities_phase,377,1.0,0.7540000081062317,377,1.0,0.9613465070724487,0.4906654953956604,0.4921480715274811
16165,identity,0,full_relation_coalition,377,1.0,0.7540000081062317,377,1.0,0.9610509276390076,0.490725040435791,0.4921480715274811
16165,identity,0,shuffled_full,377,0.3395225405693054,0.6399999856948853,377,0.6153846383094788,0.20552019774913788,0.4889945089817047,0.4921480715274811
16165,identity,0,random_norm_full,377,0.015915120020508766,0.01600000075995922,377,0.6816976070404053,0.04540174826979637,0.060531143099069595,0.4921480715274811
16165,identity,3,role_only,234,0.004273504484444857,0.004000000189989805,0,,,0.01179464254528284,0.059527698904275894
16165,identity,3,entities_only,234,0.39316239953041077,0.1979999989271164,0,,,0.04551489278674126,0.059527698904275894
16165,identity,3,phase_only,234,0.0,0.0,0,,,0.003229330526664853,0.059527698904275894
16165,identity,3,role_phase,234,0.004273504484444857,0.006000000052154064,0,,,0.012579351663589478,0.059527698904275894
16165,identity,3,entities_phase,234,0.4017094075679779,0.20200000703334808,0,,,0.045519787818193436,0.059527698904275894
16165,identity,3,full_relation_coalition,234,0.44871795177459717,0.22599999606609344,0,,,0.046452946960926056,0.059527698904275894
16165,identity,3,shuffled_full,234,0.2094017118215561,0.6320000290870667,0,,,0.2537035048007965,0.059527698904275894
16165,identity,3,random_norm_full,234,0.025641025975346565,0.029999999329447746,0,,,0.05335449054837227,0.059527698904275894
16165,beneficiary,1,role_only,367,0.00272479560226202,0.004000000189989805,352,0.49715909361839294,-0.01124985609203577,0.02355853095650673,0.220261350274086
16165,beneficiary,1,entities_only,367,1.0,0.7360000014305115,352,0.96875,0.6879062652587891,0.2244255393743515,0.220261350274086
16165,beneficiary,1,phase_only,367,0.0,0.0,352,0.5227272510528564,0.000563404755666852,0.004241689573973417,0.220261350274086
16165,beneficiary,1,role_phase,367,0.00272479560226202,0.004000000189989805,352,0.4943181872367859,-0.010760447010397911,0.02379944548010826,0.220261350274086
16165,beneficiary,1,entities_phase,367,1.0,0.7360000014305115,352,0.96875,0.6873189210891724,0.2247621715068817,0.220261350274086
16165,beneficiary,1,full_relation_coalition,367,1.0,0.734000027179718,352,0.9659090638160706,0.6857701539993286,0.22014759480953217,0.220261350274086
16165,beneficiary,1,shuffled_full,367,0.30245232582092285,0.6399999856948853,352,0.4176136255264282,-0.7713752388954163,0.35599377751350403,0.220261350274086
16165,beneficiary,1,random_norm_full,367,0.01089918240904808,0.04399999976158142,352,0.46022728085517883,-0.08153600245714188,0.09114263206720352,0.220261350274086
16165,beneficiary,3,role_only,289,0.1487889289855957,0.20800000429153442,0,,,0.045043013989925385,0.06637045741081238
16165,beneficiary,3,entities_only,289,0.5501729846000671,0.39399999380111694,0,,,0.059324998408555984,0.06637045741081238
16165,beneficiary,3,phase_only,289,0.0,0.0,0,,,0.004171634092926979,0.06637045741081238
16165,beneficiary,3,role_phase,289,0.15224912762641907,0.21199999749660492,0,,,0.045221611857414246,0.06637045741081238
16165,beneficiary,3,entities_phase,289,0.5501729846000671,0.39399999380111694,0,,,0.05988052114844322,0.06637045741081238
16165,beneficiary,3,full_relation_coalition,289,1.0,0.578000009059906,0,,,0.06371709704399109,0.06637045741081238
16165,beneficiary,3,shuffled_full,289,0.29411765933036804,0.734000027179718,0,,,0.2691504955291748,0.06637045741081238
16165,beneficiary,3,random_norm_full,289,0.027681661769747734,0.05400000140070915,0,,,0.06381750106811523,0.06637045741081238
16165,concern,2,role_only,399,0.7067669034004211,0.6259999871253967,377,0.9522546529769897,0.6349886655807495,0.23764312267303467,0.25443923473358154
16165,concern,2,entities_only,399,0.0,0.0,377,0.8037135004997253,-0.007794547360390425,0.007389168720692396,0.25443923473358154
16165,concern,2,phase_only,399,0.22055137157440186,0.23000000417232513,377,0.5676392316818237,-0.054535720497369766,0.04816866293549538,0.25443923473358154
16165,concern,2,role_phase,399,1.0,0.7979999780654907,377,0.9867374300956726,0.7967342138290405,0.25128594040870667,0.25443923473358154
16165,concern,2,entities_phase,399,0.22807016968727112,0.23600000143051147,377,0.6021220088005066,-0.02292725071310997,0.04868423938751221,0.25443923473358154
16165,concern,2,full_relation_coalition,399,1.0,0.7979999780654907,377,0.9893898963928223,0.7917919158935547,0.2548637092113495,0.25443923473358154
16165,concern,2,shuffled_full,399,0.36591479182243347,0.5860000252723694,377,0.49602121114730835,-0.47794243693351746,0.3457767069339752,0.25443923473358154
16165,concern,2,random_norm_full,399,0.027568921446800232,0.05400000140070915,377,0.5358090400695801,-0.24159276485443115,0.09562678635120392,0.25443923473358154
16165,concern,3,role_only,105,0.8476190567016602,0.1860000044107437,377,0.9549071788787842,0.6518771052360535,0.23960183560848236,0.2442074567079544
16165,concern,3,entities_only,105,0.0,0.0,377,0.8753315806388855,0.02045905590057373,0.009682736359536648,0.2442074567079544
16165,concern,3,phase_only,105,0.06666667014360428,0.026000000536441803,377,0.4270557165145874,-0.0471055805683136,0.046686768531799316,0.2442074567079544
