eval_mode,name,action_acc_mean,action_acc_min,action_acc_max,outcome_mae_mean
encoding_ood,allocation,0.5873333275318146,0.4666666686534881,0.652222216129303,0.20246272385120387
encoding_ood,continuity,0.6823333263397217,0.5866666436195374,0.7944444417953491,0.23849219977855682
encoding_ood,integrated,0.6928889036178589,0.5827777981758118,0.8244444727897644,0.14204312115907664
encoding_ood,protection,0.8427777886390686,0.5327777862548828,0.9711111187934875,0.13574509322643274
factor_ood,allocation,0.9903333306312561,0.9516666531562804,1.0,0.08686461001634592
factor_ood,continuity,1.0,1.0,1.0,0.02619811017066236
factor_ood,integrated,0.9902222156524658,0.9711111187934875,1.0,0.08620612025260922
factor_ood,protection,0.9984444379806519,0.9961110949516296,1.0,0.056317574530839895
id,allocation,0.9904444456100464,0.952222228050232,1.0,0.08501975387334818
id,continuity,1.0,1.0,1.0,0.023732048831880043
id,integrated,0.9919999957084655,0.972777783870697,0.9994444251060486,0.07750812619924542
id,protection,0.9987777709960938,0.9961110949516296,1.0,0.05522257089614864
rule_ood,allocation,0.6697777807712555,0.378888875246048,0.8877778053283691,0.15204121172428128
rule_ood,continuity,0.9998888850212098,0.9994444251060486,1.0,0.02429178059101102
rule_ood,integrated,0.987333333492279,0.9566666483879088,0.9983333349227904,0.09707365781068795
rule_ood,protection,0.8562222123146057,0.5505555272102356,0.9911110997200012,0.0720050476491451
