factor,phase,patch,mean_policy_follow,min_policy_follow,max_policy_follow,mean_policy_change,mean_outcome_closer_cf,mean_outcome_mediation,mean_model_output_shift,total_conflicts,total_outcome_diff
beneficiary,1,entities_only,0.9953488349914551,0.9767441749572754,1.0,0.7276000022888184,0.9794354677200318,0.6912858963012696,0.21280167996883392,1826,1713
beneficiary,1,entities_phase,0.9942469120025634,0.9767441749572754,1.0,0.7271999955177307,0.9799899220466614,0.6914090156555176,0.21333801448345185,1826,1713
beneficiary,1,full_relation_coalition,1.0,1.0,1.0,0.7308000087738037,0.9794493794441224,0.7011268019676209,0.21259090304374695,1826,1713
beneficiary,1,phase_only,0.0,0.0,0.0,0.0,0.5194690108299256,0.001197389576554997,0.007765841577202082,1826,1713
beneficiary,1,random_norm_full,0.02069000373594463,0.0025706940796226263,0.038567494601011276,0.04479999910108745,0.527964061498642,-0.019664834812283517,0.06942936107516288,1826,1713
beneficiary,1,role_only,0.0034519359469413757,0.0,0.014534884132444859,0.0036000000312924386,0.5024553716182709,-0.0024125710333464667,0.012912954448256641,1826,1713
beneficiary,1,role_phase,0.0034519359469413757,0.0,0.014534884132444859,0.004000000096857548,0.5169057965278625,-0.0010201485856669024,0.017381470650434494,1826,1713
beneficiary,1,shuffled_full,0.33770881295204164,0.30245232582092285,0.35537189245224,0.6063999891281128,0.5023931622505188,-0.4479444622993469,0.29842399060726166,1826,1713
beneficiary,3,entities_only,0.6361297786235809,0.3110367953777313,0.9829351305961609,0.42480000853538513,,,0.05340129360556602,1451,0
beneficiary,3,entities_phase,0.6361297786235809,0.3110367953777313,0.9829351305961609,0.42480000853538513,,,0.05351573005318642,1451,0
beneficiary,3,full_relation_coalition,0.8622073590755462,0.3110367953777313,1.0,0.5308000147342682,,,0.05396202430129051,1451,0
beneficiary,3,phase_only,0.0006825938355177641,0.0,0.0034129691775888205,0.000800000037997961,,,0.002401699806796387,1451,0
beneficiary,3,random_norm_full,0.030394409596920014,0.01706484705209732,0.04436860233545303,0.04880000054836273,,,0.05251854658126831,1451,0
beneficiary,3,role_only,0.1319237086456269,0.0033444815780967474,0.45392492413520813,0.1103999990504235,,,0.0249281223397702,1451,0
beneficiary,3,role_phase,0.13333776532672345,0.0033444815780967474,0.4505119323730469,0.11159999701194465,,,0.025182332005351783,1451,0
beneficiary,3,shuffled_full,0.26624644696712496,0.21404682099819183,0.29411765933036804,0.7188000082969666,,,0.2873580068349838,1451,0
concern,2,entities_only,0.0,0.0,0.0,0.0,0.5164940118789673,-0.005911221087444574,0.004718709527514875,1955,1844
concern,2,entities_phase,0.65683054625988,0.08375634253025055,1.0,0.525200006365776,0.8627411007881165,0.47577898278832437,0.1635940946638584,1955,1844
concern,2,full_relation_coalition,0.9990000009536744,0.9950000047683716,1.0,0.7820000052452087,0.9875352025032044,0.7959243059158325,0.2527373433113098,1955,1844
concern,2,phase_only,0.6553267866373063,0.08375634253025055,1.0,0.5240000069141388,0.8552709698677063,0.4694113291800022,0.1639280326664448,1955,1844
concern,2,random_norm_full,0.0292345080524683,0.019999999552965164,0.03807106614112854,0.0575999990105629,0.5174123644828796,-0.10092615783214569,0.10228194743394851,1955,1844
concern,2,role_only,0.3261097202077508,0.0,0.9187816977500916,0.27360000293701886,0.8170058369636536,0.3052344389259815,0.11012141257524491,1955,1844
concern,2,role_phase,0.9990000009536744,0.9950000047683716,1.0,0.7820000052452087,0.9859249830245972,0.7972909688949585,0.2525407046079636,1955,1844
concern,2,shuffled_full,0.3954401731491089,0.3400000035762787,0.4329896867275238,0.5863999962806702,0.4901731014251709,-0.48690235018730166,0.3327905237674713,1955,1844
concern,3,entities_only,0.0055904321372509,0.0,0.02158273383975029,0.002800000086426735,0.5320774197578431,-0.0025744094396941363,0.006442365376278758,686,1844
