factor,layer,token,bacc
beneficiary,0,beneficiary_role,1.0
beneficiary,1,beneficiary_role,1.0
beneficiary,2,beneficiary_role,1.0
beneficiary,3,beneficiary_role,1.0
beneficiary,1,concern_context,0.8400000000000001
beneficiary,1,identity_role,0.8400000000000001
beneficiary,2,concern_context,0.8200000000000001
beneficiary,3,concern_context,0.8200000000000001
beneficiary,1,cls,0.76
beneficiary,2,entity0,0.6799999999999999
beneficiary,3,entity0,0.6799999999999999
beneficiary,2,cls,0.66
beneficiary,3,cls,0.66
beneficiary,1,entity0,0.62
beneficiary,1,entity1,0.5800000000000001
beneficiary,2,identity_role,0.58
beneficiary,0,entity0,0.56
beneficiary,0,identity_role,0.56
beneficiary,3,identity_role,0.56
beneficiary,2,entity1,0.52
beneficiary,3,entity1,0.52
beneficiary,0,cls,0.5
beneficiary,0,concern_context,0.5
beneficiary,0,query,0.5
beneficiary,1,query,0.5
beneficiary,2,query,0.5
beneficiary,3,query,0.5
beneficiary,0,entity1,0.48000000000000004
concern,0,concern_context,1.0
concern,1,concern_context,1.0
concern,1,identity_role,1.0
concern,2,concern_context,1.0
concern,3,concern_context,1.0
concern,2,entity1,0.9414261460101867
concern,3,entity1,0.9414261460101867
concern,2,beneficiary_role,0.935483870967742
concern,3,beneficiary_role,0.935483870967742
concern,2,identity_role,0.9193548387096775
concern,3,identity_role,0.9193548387096775
concern,1,beneficiary_role,0.9032258064516129
concern,1,entity1,0.797962648556876
concern,1,cls,0.7903225806451613
concern,1,entity0,0.7258064516129032
concern,2,entity0,0.6935483870967742
concern,3,entity0,0.6935483870967742
concern,1,query,0.6774193548387097
concern,3,cls,0.6612903225806451
concern,2,cls,0.6451612903225806
concern,0,beneficiary_role,0.5560271646859083
concern,0,identity_role,0.5356536502546689
concern,0,entity1,0.5254668930390493
concern,0,entity0,0.50169779286927
concern,0,cls,0.5
concern,0,query,0.5
concern,2,query,0.5
concern,3,query,0.5
identity,0,identity_role,1.0
identity,1,identity_role,1.0
identity,2,identity_role,1.0
identity,3,identity_role,1.0
identity,1,concern_context,0.8200000000000001
identity,2,concern_context,0.76
identity,3,concern_context,0.76
identity,1,cls,0.66
identity,1,entity0,0.6200000000000001
identity,2,entity0,0.62
identity,3,entity0,0.62
identity,0,beneficiary_role,0.6000000000000001
identity,2,cls,0.6
identity,3,cls,0.6
identity,3,beneficiary_role,0.58
identity,2,beneficiary_role,0.56
identity,0,entity0,0.52
identity,2,entity1,0.52
identity,3,entity1,0.52
identity,0,cls,0.5
identity,0,concern_context,0.5
identity,0,query,0.5
identity,1,beneficiary_role,0.5
identity,1,entity1,0.5
identity,1,query,0.5
identity,2,query,0.5
identity,3,query,0.5
identity,0,entity1,0.45999999999999996
